lga,state,event_name,agrn,cat_a,cat_b,cat_c,cat_d,severity,start_date,year
Carrathool,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Carrathool,New South Wales,AGRN 1282 - Carrathool Shire Bushfire (6 - 18 February 2026),1282,0,1,0,0,A/B,2026-02-06,2026
Central Coast,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Central Coast,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Central Coast,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Central Coast,New South Wales,AGRN 1229 - NSW Central Coast Bushfire (from 6 December 2025),1229,1,1,0,0,A/B,2025-12-06,2025
Central Darling,New South Wales,Bourke bushfire: 20 to 27 October 2012,505,0,0,0,0,unknown,2012-10-20,2012
Central Darling,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Central Darling,New South Wales,Bushfire: 13 to 18 December 2012,572,0,0,0,0,unknown,2012-12-13,2012
Cessnock,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Cessnock,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Cessnock,New South Wales,Lower Hunter Bushfires: 05 November 2016,739,0,0,0,0,unknown,2016-11-05,2016
Cessnock,New South Wales,Cessnock and Maitland Bushfire: from 18 January 2017,750,0,0,0,0,unknown,2017-01-18,2017
Cessnock,New South Wales,Cessnock Bushfire: from 13 December 2016,752,0,0,0,0,unknown,2016-12-13,2016
Cessnock,New South Wales,Cessnock Bushfire: 12 September 2017,770,1,1,0,0,A/B,2017-09-12,2017
Cessnock,New South Wales,"NSW - Singleton, Cessnock and Muswellbrook Bushfires (13 January 2018 onwards)",803,1,1,0,0,A/B,2018-01-13,2018
Cessnock,New South Wales,Cessnock and Port Stephens bushfires: 15 August 2018 onwards,819,1,1,0,0,A/B,2018-08-15,2018
Cessnock,New South Wales,NSW - Port Stephens and Cessnock Bushfires (22 November 2018),842,1,1,0,0,A/B,2018-11-22,2018
Cessnock,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Cessnock,New South Wales,AGRN 1090 - Lower Hunter NSW Bushfires (20 September to 9 October 2023),1090,0,1,0,0,A/B,2023-09-20,2023
Cessnock,New South Wales,AGRN 1092 - Cessnock NSW Bushfires (14 December onwards),1092,1,1,0,0,A/B,2023-12-14,2023
Cessnock,New South Wales,AGRN 1275 - Cessnock Bushfire (8 - 28 December 2025),1275,0,1,0,0,A/B,2025-12-08,2025
Clarence Valley,New South Wales,Clarence Valley bushfire: 18 to 30 August 2012,521,0,0,0,0,unknown,2012-08-18,2012
Clarence Valley,New South Wales,Clarence Valley bushfire: 6 to 17 September 2012,524,0,0,0,0,unknown,2012-09-06,2012
Clarence Valley,New South Wales,Bushfire: 7 to 13 October 2012,528,0,0,0,0,unknown,2012-10-07,2012
Clarence Valley,New South Wales,Clarence Valley bushfire: 20 October to 6 November 2012,560,0,0,0,0,unknown,2012-10-20,2012
Clarence Valley,New South Wales,North Coast bushfires: from 9 October 2013,586,0,0,0,0,unknown,2013-10-09,2013
Clarence Valley,New South Wales,Clarence Valley and Coffs Harbour bushfires: from 2 August 2014,639,0,0,0,0,unknown,2014-08-02,2014
Clarence Valley,New South Wales,Clarence Valley and Glen Innes Severn bushfires: 14 August 2018 onwards,824,1,1,0,0,A/B,2018-08-14,2018
Clarence Valley,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Clarence Valley,New South Wales,NSW North Coast Bushfires: Commencing 18 July 2019 onwards,880,1,1,0,0,A/B,2019-07-18,2019
Clarence Valley,New South Wales,AGRN 1071 - North Eastern NSW Bushfires (21 August 2023 onwards),1071,0,1,0,0,A/B,2023-08-21,2023
Clarence Valley,New South Wales,AGRN 1075 - Far North NSW Bushfires (13 October 2023 onwards),1075,1,1,0,0,A/B,2023-10-13,2023
Clarence Valley,New South Wales,AGRN 1121 - Clarence Valley NSW Bushfire (21 January - 13 February 2024),1121,0,1,0,0,A/B,2024-01-21,2024
Clarence Valley,New South Wales,AGRN 1235 - Clarence Valley NSW Bushfire (from 25 September - 28 October 2025),1235,0,1,0,0,A/B,2025-09-25,2025
Cobar,New South Wales,Bourke bushfire: 20 to 27 October 2012,505,0,0,0,0,unknown,2012-10-20,2012
Cobar,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Cobar,New South Wales,Bushfire: 13 to 18 December 2012,572,0,0,0,0,unknown,2012-12-13,2012
Cobar,New South Wales,AGRN 1056 - Upper Lachlan Bushfires (16 March 2023 onwards),1056,0,1,0,0,A/B,2023-03-16,2023
Coffs Harbour,New South Wales,North Coast bushfires: from 9 October 2013,586,0,0,0,0,unknown,2013-10-09,2013
Coffs Harbour,New South Wales,Clarence Valley and Coffs Harbour bushfires: from 2 August 2014,639,0,0,0,0,unknown,2014-08-02,2014
Coffs Harbour,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Coolamon,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Coolamon,New South Wales,Riverina/Southern Border bushfires: from 18 January 2014,611,0,0,0,0,unknown,2014-01-18,2014
Coonamble,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Coonamble,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,2023-03-06,2023
Coonamble,New South Wales,AGRN 1206 - NSW Walgett and Coonamble Bushfire (28 January -12 February 2025),1206,0,1,0,0,A/B,2025-01-28,2025
Cootamundra-Gundagai,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Cootamundra-Gundagai,New South Wales,Riverina Highlands bushfires: from 18 January 2014,610,0,0,0,0,unknown,2014-01-18,2014
Cootamundra-Gundagai,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Cootamundra-Gundagai,New South Wales,AGRN 1065 - Cootamundra-Gundagai Bushfires (25 January 2023 onwards),1065,0,1,0,0,A/B,2023-01-25,2023
Cowra,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Cowra,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,0,1,0,0,A/B,2023-03-06,2023
Cowra,New South Wales,AGRN 1055 - Western and North West NSW Bushfires (17 February 2023),1055,1,1,0,0,A/B,2023-02-17,2023
Dubbo,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Dubbo,New South Wales,Dubbo and Mid-Western Regional Bushfire: from January 2017,746,0,0,0,0,unknown,2017-01-12,2017
Dubbo,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,2023-03-06,2023
Dubbo,New South Wales,AGRN 1230 - NSW Dubbo and Warrumbungle Bushfire (from 27 November 2025),1230,1,1,0,0,A/B,2025-11-27,2025
Dungog,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Dungog,New South Wales,Lower Hunter Bushfires: 05 November 2016,739,0,0,0,0,unknown,2016-11-05,2016
Dungog,New South Wales,"Mid Coast, Port Macquarie Hastings, Dungog and Upper Hunter bushfires: 23 September 2017",778,1,1,0,0,A/B,2017-09-23,2017
