lga,state,event_name,agrn,cat_a,cat_b,cat_c,cat_d,severity,start_date,year
Mid-Coast,New South Wales,NSW North Coast Bushfires: Commencing 18 July 2019 onwards,880,1,1,0,0,A/B,2019-07-18,2019
Mid-Coast,New South Wales,AGRN 1076 - Mid North NSW Bushfires (16 October 2023 onwards),1076,1,1,0,0,A/B,2023-10-16,2023
Mid-Coast,New South Wales,AGRN 1089 - Mid Coast NSW Bushfires (20 September - 6 October 2023),1089,0,1,0,0,A/B,2023-09-20,2023
Mid-Coast,New South Wales,AGRN 1231 - NSW Mid Coast Bushfires (from 17 November 2025),1231,1,1,0,0,A/B,2025-11-17,2025
Mid-Coast,New South Wales,AGRN 1272 - MidCoast Bushfire (27 January - 21 February 2026),1272,0,1,0,0,A/B,2026-01-27,2026
Mid-Coast,New South Wales,AGRN 1273 - MidCoast Bushfire (29 December 2025 - 5 January 2026),1273,0,1,0,0,A/B,2025-12-29,2025
Mid-Western,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Mid-Western,New South Wales,NSW State-wide Bushfires: from 11 February 2017,742,0,0,0,0,unknown,2017-02-11,2017
Mid-Western,New South Wales,Dubbo and Mid-Western Regional Bushfire: from January 2017,746,0,0,0,0,unknown,2017-01-12,2017
Mid-Western,New South Wales,Muswellbrook and Mid-Western Bushfires: 23 January 2018 onwards,807,1,1,0,0,A/B,2018-01-23,2018
Mid-Western,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Mid-Western,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,2023-03-06,2023
Mid-Western,New South Wales,AGRN 1077 - Mid-Western NSW Bushfires (17 October 2023 onwards),1077,1,1,0,0,A/B,2023-10-17,2023
Mid-Western,New South Wales,AGRN 1083 - Mid-Western NSW Bushfires (2-10 October 2023),1083,0,1,0,0,A/B,2023-10-02,2023
Mid-Western,New South Wales,AGRN 1139 - Mid-Western NSW Bushfire (6 - 16 December 2023),1139,0,1,0,0,A/B,2023-12-06,2023
Mid-Western,New South Wales,AGRN 1196 - Mid-Western NSW Bushfires (27 December 2024 - 8 January 2025),1196,0,1,0,0,A/B,2024-12-27,2024
Mid-Western,New South Wales,AGRN 1239 - Lithgow and Mid-Western Regional NSW Bushfires (from 9 December 2025),1239,1,1,0,0,A/B,2025-12-09,2025
Mid-Western,New South Wales,AGRN 1244 - Mid-Western Regional NSW Bushfire (5 - 18 November 2025),1244,0,1,0,0,A/B,2025-11-05,2025
Moree Plains,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Moree Plains,New South Wales,Bushfire: 4 to 9 December 2012,573,0,0,0,0,unknown,2012-12-04,2012
Moree Plains,New South Wales,New England Area bushfires: from 19 November 2013,618,0,0,0,0,unknown,2013-11-19,2013
Moree Plains,New South Wales,"AGRN 1054 - Gwydir, Moree Plains and Narrabri NSW Bushfires (1 March 2023)",1054,1,1,0,0,A/B,2023-03-01,2023
Murray River,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Murrumbidgee,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Muswellbrook,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Muswellbrook,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Muswellbrook,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Muswellbrook,New South Wales,Muswellbrook and Singleton bushfires: from 10 October 2013,616,0,0,0,0,unknown,2013-10-10,2013
Muswellbrook,New South Wales,"Muswellbrook, Singleton and Lithgow bushfires: from 8 January 2014",630,0,0,0,0,unknown,2014-01-08,2014
Muswellbrook,New South Wales,"NSW - Singleton, Cessnock and Muswellbrook Bushfires (13 January 2018 onwards)",803,1,1,0,0,A/B,2018-01-13,2018
Muswellbrook,New South Wales,Muswellbrook and Mid-Western Bushfires: 23 January 2018 onwards,807,1,1,0,0,A/B,2018-01-23,2018
Muswellbrook,New South Wales,NSW - Singleton and Muswellbrook Bushfires (11 February 2019 onwards),867,1,1,0,0,A/B,2019-02-11,2019
Muswellbrook,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Muswellbrook,New South Wales,AGRN 1091 Hunter NSW Bushfires (22 October - 5 November 2023),1091,0,1,0,0,A/B,2023-10-22,2023
Muswellbrook,New South Wales,AGRN 1189 - Singleton and Muswellbrook NSW Bushfires (27 December 2024 - 18 January 2025),1189,0,1,0,0,A/B,2024-12-27,2024
Muswellbrook,New South Wales,AGRN 1228 - Upper Hunter and Muswellbrook NSW Bushfires (from 26 November 2025),1228,1,1,0,0,A/B,2025-11-26,2025
Muswellbrook,New South Wales,AGRN 1264 - Muswellbrook NSW Bushfire (27 December 2025 - 6 January 2026),1264,0,1,0,0,A/B,2025-12-27,2025
Nambucca Valley,New South Wales,Bushfire: 6 to 10 December 2012,564,0,0,0,0,unknown,2012-12-06,2012
Nambucca Valley,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Nambucca Valley,New South Wales,NSW North Coast Bushfires: Commencing 18 July 2019 onwards,880,1,1,0,0,A/B,2019-07-18,2019
Nambucca Valley,New South Wales,AGRN 1071 - North Eastern NSW Bushfires (21 August 2023 onwards),1071,0,1,0,0,A/B,2023-08-21,2023
Narrabri,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Narrabri,New South Wales,Bushfire: 4 to 9 December 2012,573,0,0,0,0,unknown,2012-12-04,2012
Narrabri,New South Wales,New England Area bushfires: from 19 November 2013,618,0,0,0,0,unknown,2013-11-19,2013
Narrabri,New South Wales,Narrabri Bushfire: 6 March 2015,681,0,0,0,0,unknown,2015-03-06,2015
Narrabri,New South Wales,NSW State-wide Bushfires: from 11 February 2017,742,0,0,0,0,unknown,2017-02-11,2017
Narrabri,New South Wales,Narrabri and Warrumbungle bushfire: 17 January 2018 onwards,799,1,1,0,0,A/B,2018-01-17,2018
Narrabri,New South Wales,Narrabri and Gwydir (Bobbiwaa Creek) Bushfire: 12 February 2018 onwards,809,1,1,0,0,A/B,2018-02-12,2018
Narrabri,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Narrabri,New South Wales,AGRN 1053 - Gwydir and Narrabri NSW Bushfires (18 January 2023),1053,1,1,0,0,A/B,2023-01-18,2023
Narrabri,New South Wales,"AGRN 1054 - Gwydir, Moree Plains and Narrabri NSW Bushfires (1 March 2023)",1054,1,1,0,0,A/B,2023-03-01,2023
Narrabri,New South Wales,AGRN 1093 - Narrabri NSW Bushfires (8 December 2023 onwards),1093,1,1,0,0,A/B,2023-12-08,2023
Narrabri,New South Wales,AGRN 1199 - NSW Narrabri and Gwydir Bushfire (27 January - 10 February 2025),1199,0,1,0,0,A/B,2025-01-27,2025
Narrandera,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Narromine,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Newcastle,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Newcastle,New South Wales,NSW - Newcastle (Kooragang Island) Bushfires: 5 January 2019 onwards,866,1,1,0,0,A/B,2019-01-05,2019
Oberon,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Oberon,New South Wales,Central Ranges bushfires: from 19 January 2014,612,0,0,0,0,unknown,2014-01-19,2014
Oberon,New South Wales,Oberon bushfires: from 10 October 2013,629,0,0,0,0,unknown,2013-10-10,2013
Oberon,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Orange,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Orange,New South Wales,NSW Central West Bushfires: 9 February 2018 onwards,804,1,1,0,0,A/B,2018-02-09,2018
Parkes,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Parkes,New South Wales,Bushfire: 9 to 15 December 2012,571,0,0,0,0,unknown,2012-12-09,2012
Parkes,New South Wales,NSW bushfires: 23 November 2014,672,0,0,0,0,unknown,2014-11-23,2014
Parkes,New South Wales,NSW - Parkes and Cabonne (Curembenya) Bushfires(5 January 2019 onwards),853,1,1,0,0,A/B,2019-01-05,2019
Parkes,New South Wales,AGRN 1137 - Parkes NSW Bushfire (19 - 27 November 2023),1137,0,1,0,0,A/B,2023-11-19,2023
Parkes,New South Wales,AGRN 1252 - Parkes NSW Bushfire (from 26 November 2025),1252,0,1,0,0,A/B,2025-11-26,2025
Penrith,New South Wales,Western Sydney bushfires: from 10 September 2013,614,0,0,0,0,unknown,2013-09-10,2013
Penrith,New South Wales,Penrith Bushfire: from 13 November 2016,744,0,0,0,0,unknown,2016-11-13,2016
Penrith,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Port Macquarie-Hastings,New South Wales,Greater Taree and Port-Macquarie Hastings bushfire: 20 October to 9 November 2012,504,0,0,0,0,unknown,2012-10-20,2012
Port Macquarie-Hastings,New South Wales,Port Macquarie Hastings bushfire: 4 to 13 October 2012,529,0,0,0,0,unknown,2012-10-04,2012
Port Macquarie-Hastings,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Port Macquarie-Hastings,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Port Macquarie-Hastings,New South Wales,Mid North Coast bushfires: from 26 September 2013,615,0,0,0,0,unknown,2013-09-26,2013
Port Macquarie-Hastings,New South Wales,Mid North Coast bushfires: from 5 November 2013,617,0,0,0,0,unknown,2013-11-05,2013
Port Macquarie-Hastings,New South Wales,NSW State-wide Bushfires: from 11 February 2017,742,0,0,0,0,unknown,2017-02-11,2017
Port Macquarie-Hastings,New South Wales,Mid Coast and Port Macquarie-Hastings Bushfires: 30 August 2017,772,1,1,0,0,A/B,2017-08-30,2017
Port Macquarie-Hastings,New South Wales,"Mid Coast, Port Macquarie Hastings, Dungog and Upper Hunter bushfires: 23 September 2017",778,1,1,0,0,A/B,2017-09-23,2017
Port Macquarie-Hastings,New South Wales,Kempsey and Port Macquarie-Hastings Bushfire: 5 December 2017 onwards,802,1,1,0,0,A/B,2017-12-05,2017
Port Macquarie-Hastings,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Port Macquarie-Hastings,New South Wales,NSW North Coast Bushfires: Commencing 18 July 2019 onwards,880,1,1,0,0,A/B,2019-07-18,2019
Port Macquarie-Hastings,New South Wales,AGRN 1076 - Mid North NSW Bushfires (16 October 2023 onwards),1076,1,1,0,0,A/B,2023-10-16,2023
Port Macquarie-Hastings,New South Wales,AGRN 1262 - Port Macquarie-Hastings NSW Bushfire (from 19 -25 December 2025),1262,0,1,0,0,A/B,2025-12-19,2025
Port Stephens,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Port Stephens,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Port Stephens,New South Wales,Lower Hunter Bushfires: 05 November 2016,739,0,0,0,0,unknown,2016-11-05,2016
Port Stephens,New South Wales,NSW - Port Stephens bushfire (8 January 2018),795,1,1,0,0,A/B,2018-01-08,2018
Port Stephens,New South Wales,Cessnock and Port Stephens bushfires: 15 August 2018 onwards,819,1,1,0,0,A/B,2018-08-15,2018
Port Stephens,New South Wales,NSW - Port Stephens and Cessnock Bushfires (22 November 2018),842,1,1,0,0,A/B,2018-11-22,2018
Port Stephens,New South Wales,AGRN 1090 - Lower Hunter NSW Bushfires (20 September to 9 October 2023),1090,0,1,0,0,A/B,2023-09-20,2023
Port Stephens,New South Wales,AGRN 1279 - Port Stephens Bushfire (from 29 January - 5 February 2026),1279,0,1,0,0,A/B,2026-01-29,2026
Queanbeyan-Palerang,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Queanbeyan-Palerang,New South Wales,Southern Ranges Bushfires: from 17 January 2017,745,0,0,0,0,unknown,2017-01-17,2017
Queanbeyan-Palerang,New South Wales,Queanbeyan-Palerang Bushfire (Carwoola Bushfire): from 17 February 2017,747,0,0,0,0,unknown,2017-02-17,2017
Queanbeyan-Palerang,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Richmond Valley,New South Wales,Clarence Valley bushfire: 6 to 17 September 2012,524,0,0,0,0,unknown,2012-09-06,2012
Richmond Valley,New South Wales,Bushfire: 7 to 13 October 2012,528,0,0,0,0,unknown,2012-10-07,2012
Richmond Valley,New South Wales,"NSW - Richmond Valley, Lismore and Kyogle bushfires (12 August 2018 onwards)",823,1,1,0,0,A/B,2018-08-12,2018
Richmond Valley,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Richmond Valley,New South Wales,NSW North Coast Bushfires: Commencing 18 July 2019 onwards,880,1,1,0,0,A/B,2019-07-18,2019
Richmond Valley,New South Wales,AGRN 1138 - Richmond Valley NSW Bushfire (4 - 15 December 2023),1138,0,1,0,0,A/B,2023-12-04,2023
Shoalhaven,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Shoalhaven,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Shoalhaven,New South Wales,Shoalhaven Bushfire: 26 November 2015,700,0,0,0,0,unknown,2015-11-26,2015
Shoalhaven,New South Wales,NSW - Shoalhaven bushfires (11 August 2018 onwards),818,1,1,0,0,A/B,2018-08-11,2018
Shoalhaven,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Singleton,New South Wales,Singleton bushfire: 5 to 12 October 2012,530,0,0,0,0,unknown,2012-10-05,2012
Singleton,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Singleton,New South Wales,Singleton bushfire: 20 to 26 October 2012,561,0,0,0,0,unknown,2012-10-20,2012
Singleton,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Singleton,New South Wales,Muswellbrook and Singleton bushfires: from 10 October 2013,616,0,0,0,0,unknown,2013-10-10,2013
Singleton,New South Wales,"Muswellbrook, Singleton and Lithgow bushfires: from 8 January 2014",630,0,0,0,0,unknown,2014-01-08,2014
Singleton,New South Wales,Singleton Bushfire: from 19 February 2017,759,0,0,0,0,unknown,2017-02-19,2017
Singleton,New South Wales,NSW - Singleton Bushfire (18 December 2017),792,1,1,0,0,A/B,2017-12-18,2017
Singleton,New South Wales,"NSW - Singleton, Cessnock and Muswellbrook Bushfires (13 January 2018 onwards)",803,1,1,0,0,A/B,2018-01-13,2018
Singleton,New South Wales,NSW - Singleton and Muswellbrook Bushfires (11 February 2019 onwards),867,1,1,0,0,A/B,2019-02-11,2019
Singleton,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Singleton,New South Wales,AGRN 1099 - Singleton NSW Bushfires (11 September - 18 October 2023),1099,0,1,0,0,A/B,2023-09-11,2023
Singleton,New South Wales,AGRN 1140 - Singleton NSW Bushfire (8 - 18 December 2023),1140,0,1,0,0,A/B,2023-12-08,2023
Singleton,New South Wales,AGRN 1189 - Singleton and Muswellbrook NSW Bushfires (27 December 2024 - 18 January 2025),1189,0,1,0,0,A/B,2024-12-27,2024
Singleton,New South Wales,AGRN 1191 - Singleton NSW Bushfires (16 -24 December 2024),1191,0,1,0,0,A/B,2024-12-16,2024
Snowy Monaro,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Snowy Monaro,New South Wales,Snowy River and Cooma-Monaro bushfire: 5 to 7 September 2012,574,0,0,0,0,unknown,2012-09-05,2012
Snowy Monaro,New South Wales,Cooma-Monaro bushfires: from 1 February 2014,631,0,0,0,0,unknown,2014-02-01,2014
Snowy Monaro,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Snowy Monaro,New South Wales,AGRN 1084 - Snowy Monaro NSW Bushfires (2 October 2023),1084,0,1,0,0,A/B,2023-10-02,2023
Snowy Monaro,New South Wales,AGRN 1132 - Snowy Monaro NSW Bushfire (20 September - 4 October 2023),1132,0,1,0,0,A/B,2023-09-20,2023
Snowy Valleys,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Snowy Valleys,New South Wales,Riverina Highlands bushfires: from 18 January 2014,610,0,0,0,0,unknown,2014-01-18,2014
Snowy Valleys,New South Wales,NSW Snowy Valleys Bushfires: 17 January 2019 onwards,860,1,1,0,0,A/B,2019-01-17,2019
Snowy Valleys,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Sutherland,New South Wales,NSW - Sutherland (Royal National Park) Bushfire (20 January 2018 onwards),805,1,1,0,0,A/B,2018-01-20,2018
Sutherland,New South Wales,Liverpool and Sutherland Bushfire: 14 April 2018 onwards,808,1,1,0,0,A/B,2018-04-14,2018
Sutherland,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Tamworth,New South Wales,"NSW - Tamworth, Uralla and Gwydir Bushfires (2 January 2018)",789,1,1,0,0,A/B,2018-01-02,2018
Tamworth,New South Wales,NSW - Tamworth Bushfire (25 December 2017 onwards),791,1,1,0,0,A/B,2017-12-25,2017
Tamworth,New South Wales,NSW - Tamworth (Rockview) Bushfire (30 October 2018 onwards),841,1,0,0,0,A/B,2018-10-30,2018
Tamworth,New South Wales,NSW - Tamworth (Halls Creek Road) Bushfires(3 January 2019 onwards),855,1,1,0,0,A/B,2019-01-03,2019
Tamworth,New South Wales,NSW - Tamworth Regional and Upper Hunter Bushfires (11 February 2019 onwards),862,1,1,0,0,A/B,2019-02-11,2019
Tamworth,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Tamworth,New South Wales,AGRN 1134 - Tamworth NSW Bushfires (26 October - 4 November 2023),1134,0,1,0,0,A/B,2023-10-26,2023
Tamworth,New South Wales,AGRN 1192 -Tamworth and Uralla NSW Bushfires (27 December 2024 - 9 January 2025),1192,0,1,0,0,A/B,2024-12-27,2024
Temora,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Tenterfield,New South Wales,Clarence Valley bushfire: 6 to 17 September 2012,524,0,0,0,0,unknown,2012-09-06,2012
Tenterfield,New South Wales,Bushfire: 7 to 13 October 2012,528,0,0,0,0,unknown,2012-10-07,2012
Tenterfield,New South Wales,Tenterfield Bushfire: 5 November 2016,741,0,0,0,0,unknown,2016-11-05,2016
Tenterfield,New South Wales,NSW - Tenterfield Bushfires (commencing 8 September 2017),776,1,1,0,0,A/B,2017-09-08,2017
Tenterfield,New South Wales,Northern NSW Bushfires: 11 February 2019 onwards,843,1,1,0,0,A/B,2019-02-11,2019
Tenterfield,New South Wales,NSW - Tenterfield Bushfires (9 March 2019 onwards),864,1,1,0,0,A/B,2019-03-09,2019
Tenterfield,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Tenterfield,New South Wales,AGRN 1075 - Far North NSW Bushfires (13 October 2023 onwards),1075,1,1,0,0,A/B,2023-10-13,2023
Tenterfield,New South Wales,AGRN 1114 - Inverell and Tenterfield NSW Bushfires (7-24 December 2023),1114,0,1,0,0,A/B,2023-12-07,2023
Tenterfield,New South Wales,AGRN 1156 - Tenterfield NSW Bushfire (2 September -16 September 2024),1156,0,1,0,0,A/B,2024-09-02,2024
Tenterfield,New South Wales,AGRN 1236 -Tenterfield NSW Bushfire (from 23 October - 3 November 2025),1236,0,1,0,0,A/B,2025-10-23,2025
Tenterfield,New South Wales,AGRN 1261 - Tenterfield NSW Bushfire (from 16 December 2025),1261,0,1,0,0,A/B,2025-12-16,2025
The Hills,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Tweed,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Upper Hunter,New South Wales,Gloucester bushfire: 8 to 29 October 2012,525,0,0,0,0,unknown,2012-10-08,2012
Upper Hunter,New South Wales,Bushfire: 19 to 28 December 2012,567,0,0,0,0,unknown,2012-12-19,2012
Upper Hunter,New South Wales,NSW State-wide Bushfires: from 11 February 2017,742,0,0,0,0,unknown,2017-02-11,2017
Upper Hunter,New South Wales,"Mid Coast, Port Macquarie Hastings, Dungog and Upper Hunter bushfires: 23 September 2017",778,1,1,0,0,A/B,2017-09-23,2017
Upper Hunter,New South Wales,NSW - Upper Hunter Bushfires (23 January 2018 onwards),814,1,1,0,0,A/B,2018-01-23,2018
Upper Hunter,New South Wales,NSW - Tamworth Regional and Upper Hunter Bushfires (11 February 2019 onwards),862,1,1,0,0,A/B,2019-02-11,2019
Upper Hunter,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Upper Hunter,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,0,1,0,0,A/B,2023-03-06,2023
Upper Hunter,New South Wales,AGRN 1055 - Western and North West NSW Bushfires (17 February 2023),1055,1,1,0,0,A/B,2023-02-17,2023
Upper Hunter,New South Wales,AGRN 1091 Hunter NSW Bushfires (22 October - 5 November 2023),1091,0,1,0,0,A/B,2023-10-22,2023
Upper Hunter,New South Wales,AGRN 1131 - Upper Hunter NSW Bushfire (10 - 17 August 2023),1131,0,1,0,0,A/B,2023-08-10,2023
Upper Hunter,New South Wales,AGRN 1228 - Upper Hunter and Muswellbrook NSW Bushfires (from 26 November 2025),1228,1,1,0,0,A/B,2025-11-26,2025
Upper Lachlan,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Upper Lachlan,New South Wales,NSW - Upper Lachlan (Long Gully) Bushfire (19 January 2018 onwards),806,1,1,0,0,A/B,2018-01-19,2018
Upper Lachlan,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Upper Lachlan,New South Wales,AGRN 1056 - Upper Lachlan Bushfires (16 March 2023 onwards),1056,1,1,0,0,A/B,2023-03-16,2023
Upper Lachlan,New South Wales,AGRN 1066 - Upper Lachlan and Yass Valley Bushfires (11 February 2023 onwards),1066,0,1,0,0,A/B,2023-02-11,2023
Uralla,New South Wales,"NSW - Tamworth, Uralla and Gwydir Bushfires (2 January 2018)",789,1,1,0,0,A/B,2018-01-02,2018
Uralla,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Uralla,New South Wales,AGRN 1192 -Tamworth and Uralla NSW Bushfires (27 December 2024 - 9 January 2025),1192,0,1,0,0,A/B,2024-12-27,2024
Wagga Wagga,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Wagga Wagga,New South Wales,Riverina/Southern Border bushfires: from 18 January 2014,611,0,0,0,0,unknown,2014-01-18,2014
Wagga Wagga,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Walcha,New South Wales,Armidale bushfire: 20 October 2012,507,0,0,0,0,unknown,2012-10-20,2012
Walcha,New South Wales,Mid North Coast bushfires: from 26 September 2013,615,0,0,0,0,unknown,2013-09-26,2013
Walcha,New South Wales,Mid North Coast bushfires: from 5 November 2013,617,0,0,0,0,unknown,2013-11-05,2013
Walcha,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Walgett,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Walgett,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,2023-03-06,2023
Walgett,New South Wales,AGRN 1081 - North Western NSW Bushfires (14 November 2023 onwards),1081,1,1,0,0,A/B,2023-11-14,2023
Walgett,New South Wales,AGRN 1206 - NSW Walgett and Coonamble Bushfire (28 January -12 February 2025),1206,0,1,0,0,A/B,2025-01-28,2025
Warren,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Warren,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,2023-03-06,2023
Warrumbungle,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Warrumbungle,New South Wales,Warrumbungle bushfires: from 1 February 2014,632,0,0,0,0,unknown,2014-02-01,2014
Warrumbungle,New South Wales,NSW State-wide Bushfires: from 11 February 2017,742,0,0,0,0,unknown,2017-02-11,2017
Warrumbungle,New South Wales,Narrabri and Warrumbungle bushfire: 17 January 2018 onwards,799,1,1,0,0,A/B,2018-01-17,2018
Warrumbungle,New South Wales,AGRN 1230 - NSW Dubbo and Warrumbungle Bushfire (from 27 November 2025),1230,1,1,0,0,A/B,2025-11-27,2025
Weddin,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Weddin,New South Wales,NSW bushfires: 23 November 2014,672,0,0,0,0,unknown,2014-11-23,2014
Wingecarribee,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Wingecarribee,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Wingecarribee,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Wollondilly,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Wollondilly,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Wollondilly,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Wollongong,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Yass Valley,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Yass Valley,New South Wales,Southern Ranges Bushfires: from 17 January 2017,745,0,0,0,0,unknown,2017-01-17,2017
Yass Valley,New South Wales,AGRN 1066 - Upper Lachlan and Yass Valley Bushfires (11 February 2023 onwards),1066,0,1,0,0,A/B,2023-02-11,2023
Yass Valley,New South Wales,AGRN 1190 - Yass Valley NSW Bushfire (27 December 2024 - 7 January 2025),1190,0,1,0,0,A/B,2024-12-27,2024
Unincorporated NSW,New South Wales,Bourke bushfire: 20 to 27 October 2012,505,0,0,0,0,unknown,2012-10-20,2012
Unincorporated NSW,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Unincorporated NSW,New South Wales,Bushfire: 13 to 18 December 2012,572,0,0,0,0,unknown,2012-12-13,2012
Alpine,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
