agrn,event_short,year,lgas,state
752,Cessnock Bushfire: from 13 December 2016,2016,1,New South Wales
759,Singleton Bushfire: from 19 February 2017,2017,1,New South Wales
770,Cessnock Bushfire: 12 September 2017,2017,1,New South Wales
771,Kempsey Bushfire: 27 August 2017,2017,1,New South Wales
772,Mid Coast and Port Macquarie-Hastings Bushfires: 30 Aug,2017,2,New South Wales
776,NSW - Tenterfield Bushfires (commencing 8 September 201,2017,1,New South Wales
778,"Mid Coast, Port Macquarie Hastings, Dungog and Upper Hu",2017,4,New South Wales
779,St Helens Bushfire: commencing 17 October 2017,2017,1,Tasmania
789,"NSW - Tamworth, Uralla and Gwydir Bushfires (2 January ",2018,3,New South Wales
791,NSW - Tamworth Bushfire (25 December 2017 onwards),2017,1,New South Wales
792,NSW - Singleton Bushfire (18 December 2017),2017,1,New South Wales
795,NSW - Port Stephens bushfire (8 January 2018),2018,1,New South Wales
798,Bega Bushfire: 18 March 2018 onward,2018,1,New South Wales
799,Narrabri and Warrumbungle bushfire: 17 January 2018 onw,2018,2,New South Wales
802,Kempsey and Port Macquarie-Hastings Bushfire: 5 Decembe,2017,2,New South Wales
803,"NSW - Singleton, Cessnock and Muswellbrook Bushfires (1",2018,3,New South Wales
804,NSW Central West Bushfires: 9 February 2018 onwards,2018,3,New South Wales
805,NSW - Sutherland (Royal National Park) Bushfire (20 Jan,2018,1,New South Wales
806,NSW - Upper Lachlan (Long Gully) Bushfire (19 January 2,2018,1,New South Wales
807,Muswellbrook and Mid-Western Bushfires: 23 January 2018,2018,2,New South Wales
808,Liverpool and Sutherland Bushfire: 14 April 2018 onward,2018,2,New South Wales
809,Narrabri and Gwydir (Bobbiwaa Creek) Bushfire: 12 Febru,2018,2,New South Wales
814,NSW - Upper Hunter Bushfires (23 January 2018 onwards),2018,1,New South Wales
816,Lithgow bushfire: 12 February 2018 onwards,2018,1,New South Wales
817,Bushfire - Potters Hill: 18-20 March 2018,2018,1,Australian Capital Territory
818,NSW - Shoalhaven bushfires (11 August 2018 onwards),2018,1,New South Wales
819,Cessnock and Port Stephens bushfires: 15 August 2018 on,2018,2,New South Wales
820,Bega Valley and Eurobodalla bushfires: 15 August 2018 o,2018,2,New South Wales
823,"NSW - Richmond Valley, Lismore and Kyogle bushfires (12",2018,3,New South Wales
824,Clarence Valley and Glen Innes Severn bushfires: 14 Aug,2018,2,New South Wales
827,Central Queensland Bushfires: from 22 November 2018,2018,8,Queensland
828,Redland Bushfires: 28 November - 13 December 2018,2018,1,Queensland
831,Gympie Bushfires: 19-27 September 2018,2018,1,Queensland
832,Mareeba and Tablelands Bushfires: 17 September to 9 Oct,2018,2,Queensland
837,Rosedale Bushfire: commencing 4 January 2019,2019,1,Victoria
838,Tasmanian Bushfires: December 2018 and January 2019,2018,4,Tasmania
839,St Ronans Bushfire: 10 January 2019,2019,1,Western Australia
841,NSW - Tamworth (Rockview) Bushfire (30 October 2018 onw,2018,1,New South Wales
842,NSW - Port Stephens and Cessnock Bushfires (22 November,2018,2,New South Wales
843,Northern NSW Bushfires: 11 February 2019 onwards,2019,4,New South Wales
846,South-East Victoria Bushfires (28 February 2019),2019,15,Victoria
847,Armidale (Melrose) Bushfire: 1 December 2018 onwards,2018,1,New South Wales
851,Glen Innes Severn (Highland Creek) Bushfire: 25 Decembe,2018,1,New South Wales
852,Timbarra bushfires: commencing 16 January 2019,2019,1,Victoria
853,NSW - Parkes and Cabonne (Curembenya) Bushfires(5 Janua,2019,2,New South Wales
854,Thomson Catchment Bushfires: commencing 25 January 2019,2019,3,Victoria
855,NSW - Tamworth (Halls Creek Road) Bushfires(3 January 2,2019,1,New South Wales
860,NSW Snowy Valleys Bushfires: 17 January 2019 onwards,2019,1,New South Wales
862,NSW - Tamworth Regional and Upper Hunter Bushfires (11 ,2019,2,New South Wales
864,NSW - Tenterfield Bushfires (9 March 2019 onwards),2019,1,New South Wales
866,NSW - Newcastle (Kooragang Island) Bushfires: 5 January,2019,1,New South Wales
867,NSW - Singleton and Muswellbrook Bushfires (11 February,2019,2,New South Wales
871,NSW Bushfires (31 August 2019 onwards),2019,50,New South Wales
872,Wallangarra Bushfires: 12 - 21 February 2019,2019,1,Queensland
877,South Australian bushfires: November 2019 onwards,2019,11,South Australia
880,NSW North Coast Bushfires: Commencing 18 July 2019 onwa,2019,7,New South Wales
882,Victorian Bushfires: 21 November 2019 onwards,2019,20,Victoria
897,Australian Capital Territory Bushfires: December 2019 -,2019,1,Australian Capital Territory
909,Queensland Bushfires: September - December 2019,2019,23,Queensland
913,Tasmanian Bushfires: 16 November 2019 onwards,2019,5,Tasmania
935,Northern Territory Bushfires (1 August - 19 September 2,2020,13,Northern Territory
941,K’gari (Fraser Island) Bushfires (15 Nov - 4 Dec 2020),2020,1,Queensland
950,Wooroloo Bushfire (1 February 2021),2021,2,Western Australia
957,Kooralbyn Bushfire (12-19 October 2020),2020,1,Queensland
958,Gumlow Bushfire (21-26 November 2020),2020,1,Queensland
1009,Bridgetown Bushfire (5-12 February 2022),2022,1,Western Australia
1010,Shackelton Complex Bushfire (6-15 February 2022),2022,2,Western Australia
1048,Western Downs Bushfire (30 January - March 2023),2023,1,Queensland
1052,NSW Bushfires (6 March 2023),2023,12,New South Wales
1053,Gwydir and Narrabri NSW Bushfires (18 January 2023),2023,2,New South Wales
1054,"Gwydir, Moree Plains and Narrabri NSW Bushfires (1 Marc",2023,3,New South Wales
1055,Western and North West NSW Bushfires (17 February 2023),2023,5,New South Wales
1056,Upper Lachlan Bushfires (16 March 2023 onwards),2023,2,New South Wales
1065,Cootamundra-Gundagai Bushfires (25 January 2023 onwards,2023,1,New South Wales
1066,Upper Lachlan and Yass Valley Bushfires (11 February 20,2023,2,New South Wales
1068,Southern Region Bushfire (August 2023 onwards),2023,6,Northern Territory
1070,Bega Valley NSW Bushfires (3 October 2023 onwards),2023,1,New South Wales
1071,North Eastern NSW Bushfires (21 August 2023 onwards),2023,4,New South Wales
1073,East Victorian Fires (commencing 29 September 2023),2023,3,Victoria
1075,Far North NSW Bushfires (13 October 2023 onwards),2023,4,New South Wales
1076,Mid North NSW Bushfires (16 October 2023 onwards),2023,3,New South Wales
1077,Mid-Western NSW Bushfires (17 October 2023 onwards),2023,1,New South Wales
1078,Southern Queensland Bushfires (8 September - 7 November,2023,17,Queensland
1079,Northern Queensland bushfres (18 October - 8 December 2,2023,5,Queensland
1080,The Pines and Condamine Farms bushfire (19 November - 1,2023,1,Queensland
1081,North Western NSW Bushfires (14 November 2023 onwards),2023,1,New South Wales
1082,Mariginiup Bushfire in Western Australia (22 November 2,2023,2,Western Australia
1083,Mid-Western NSW Bushfires (2-10 October 2023),2023,1,New South Wales
1084,Snowy Monaro NSW Bushfires (2 October 2023),2023,1,New South Wales
1085,Nome and Julago Bushfire (16 - 24 September 2023),2023,1,Queensland
1089,Mid Coast NSW Bushfires (20 September - 6 October 2023),2023,1,New South Wales
1090,Lower Hunter NSW Bushfires (20 September to 9 October 2,2023,4,New South Wales
1091,5 November 2023),2023,2,New South Wales
1092,Cessnock NSW Bushfires (14 December onwards),2023,1,New South Wales
1093,Narrabri NSW Bushfires (8 December 2023 onwards),2023,1,New South Wales
1099,Singleton NSW Bushfires (11 September - 18 October 2023,2023,1,New South Wales
1112,Armidale NSW Bushfires (9 December - 23 December 2023),2023,1,New South Wales
1114,Inverell and Tenterfield NSW Bushfires (7-24 December 2,2023,2,New South Wales
1115,Mount Isa bushfire (23 October - 1 November 2023),2023,1,Queensland
1121,Clarence Valley NSW Bushfire (21 January - 13 February ,2024,1,New South Wales
1131,Upper Hunter NSW Bushfire (10 - 17 August 2023),2023,1,New South Wales
1132,Snowy Monaro NSW Bushfire (20 September - 4 October 202,2023,1,New South Wales
1133,Lake Macquarie NSW Bushfire (1 - 18 October 2023),2023,1,New South Wales
1134,Tamworth NSW Bushfires (26 October - 4 November 2023),2023,1,New South Wales
1135,Byron NSW Bushfire (14 October - 5 November 2023),2023,1,New South Wales
1136,Lithgow NSW Bushfire (11 - 17 November 2023),2023,1,New South Wales
1137,Parkes NSW Bushfire (19 - 27 November 2023),2023,1,New South Wales
1138,Richmond Valley NSW Bushfire (4 - 15 December 2023),2023,1,New South Wales
1139,Mid-Western NSW Bushfire (6 - 16 December 2023),2023,1,New South Wales
1140,Singleton NSW Bushfire (8 - 18 December 2023),2023,1,New South Wales
1153,Dirranbandi Bushfires (5 - 10 November 2024),2024,1,Queensland
1154,North Queensland Bushfires (12 September - 15 November ,2024,4,Queensland
1156,Tenterfield NSW Bushfire (2 September -16 September 202,2024,1,New South Wales
1165,Mount Tabor Bushfire (22 September to 8 October 2024),2024,2,Queensland
1166,Western Victoria Bushfires (commencing 16 December 2024,2024,8,Victoria
1169,Bass Coast Bushfires (commencing 19 December 2024),2024,1,Victoria
1179,Cloncurry and Mount Isa Bushfires (6 to 29 October 2024,2024,2,Queensland
1181,Silver Valley and Walsh Bluff Bushfires (13 to 24 Novem,2024,2,Queensland
1183,Cook and Hope Vale Bushfires (20 September to 9 October,2024,2,Queensland
1187,Tasmanian West Coast Fires (February 2025),2025,5,Tasmania
1189,Singleton and Muswellbrook NSW Bushfires (27 December 2,2024,2,New South Wales
1190,Yass Valley NSW Bushfire (27 December 2024 - 7 January ,2024,1,New South Wales
1191,Singleton NSW Bushfires (16 -24 December 2024),2024,1,New South Wales
1192,9 January 2025),2024,2,New South Wales
1193,Bathurst and Lithgow NSW Bushfire (23 December 2024 - 1,2024,2,New South Wales
1196,Mid-Western NSW Bushfires (27 December 2024 - 8 January,2024,1,New South Wales
1197,Hawkesbury NSW Bushfires (5 - 16 January 2025),2025,1,New South Wales
1199,NSW Narrabri and Gwydir Bushfire (27 January - 10 Febru,2025,2,New South Wales
1206,NSW Walgett and Coonamble Bushfire (28 January -12 Febr,2025,2,New South Wales
1227,Southern Tasmania Bushfires (commencing 4 December 2025,2025,5,Tasmania
1228,Upper Hunter and Muswellbrook NSW Bushfires (from 26 No,2025,2,New South Wales
1229,NSW Central Coast Bushfire (from 6 December 2025),2025,1,New South Wales
1230,NSW Dubbo and Warrumbungle Bushfire (from 27 November 2,2025,2,New South Wales
1231,NSW Mid Coast Bushfires (from 17 November 2025),2025,1,New South Wales
1232,NSW Lake Macquarie Bushfire (from 6 December 2025),2025,1,New South Wales
1234,Break O'Day Bushfires (commencing 9 December 2025),2025,1,Tasmania
1235,Clarence Valley NSW Bushfire (from 25 September - 28 Oc,2025,1,New South Wales
1236,3 November 2025),2025,1,New South Wales
1237,Kempsey NSW Bushfire ( 6 - 9 October 2025),2025,1,New South Wales
1239,Lithgow and Mid-Western Regional NSW Bushfires (from 9 ,2025,2,New South Wales
1242,Victorian Bushfires (commencing 7 January 2026),2026,29,Victoria
1244,Mid-Western Regional NSW Bushfire (5 - 18 November 2025,2025,1,New South Wales
1245,Dungog NSW Bushfire: from 9 November 2025,2025,1,New South Wales
1246,Lithgow NSW Bushfire (from 16 November 2025),2025,1,New South Wales
1250,Red Hill Bushfire (5-11 November 2025),2025,1,Queensland
1251,Darling Downs and Maranoa Bushfires (26 September - 14 ,2025,3,Queensland
1252,Parkes NSW Bushfire (from 26 November 2025),2025,1,New South Wales
1253,Weir River Bushfires (26 October to 7 November 2025),2025,2,Queensland
1254,Inglewood Bushfires (10 to 17 November 2025),2025,2,Queensland
