state,activations,unique_lgas,unique_events,first_year,last_year
Australian Capital Territory,2,1,2,2018,2019
New South Wales,436,101,168,2011,2026
Northern Territory,23,17,3,2011,2023
Queensland,150,57,32,2011,2025
South Australia,37,27,8,2012,2019
Tasmania,34,15,9,2013,2025
Victoria,181,51,27,2009,2026
Western Australia,25,22,14,2009,2023
